x,y
0.019019,0.994582
0.021021,0.993384
0.023023,0.992067
0.025025,0.990631
0.027027,0.989076
0.029029,0.987404
0.031031,0.985614
0.033033,0.983707
0.035035,0.981682
0.037037,0.979541
0.039039,0.977284
0.041041,0.974912
0.043043,0.972424
0.045045,0.969821
0.047047,0.967105
0.049049,0.964275
0.051051,0.961331
0.053053,0.958276
0.055055,0.955108
0.057057,0.951830
0.059059,0.948441
0.061061,0.944942
0.063063,0.941334
0.065065,0.937618
0.067067,0.933795
0.069069,0.929864
0.071071,0.925828
0.073073,0.921687
0.075075,0.917441
0.077077,0.913093
0.079079,0.908642
0.081081,0.904089
0.083083,0.899436
0.085085,0.894684
0.087087,0.889833
0.089089,0.884884
0.091091,0.879839
0.093093,0.874699
0.095095,0.869465
0.097097,0.864138
0.099099,0.858718
0.101101,0.768845
0.103103,0.763324
0.105105,0.757790
0.107107,0.752245
0.109109,0.746688
0.111111,0.741122
0.113113,0.735547
0.115115,0.729965
0.117117,0.724376
0.119119,0.718783
0.121121,0.713185
0.123123,0.707584
0.125125,0.701981
0.127127,0.696378
0.129129,0.690774
0.131131,0.685172
0.133133,0.679572
0.135135,0.673975
0.137137,0.668383
0.139139,0.662796
0.141141,0.657215
0.143143,0.651641
0.145145,0.646075
0.147147,0.640518
0.149149,0.634971
0.151151,0.629435
0.153153,0.623911
0.155155,0.618400
0.157157,0.612902
0.159159,0.607419
0.161161,0.601950
0.163163,0.596498
0.165165,0.591063
0.167167,0.585646
0.169169,0.580247
0.171171,0.574868
0.173173,0.569508
0.175175,0.564170
0.177177,0.558853
0.179179,0.553559
0.181181,0.548288
0.183183,0.543041
0.185185,0.537818
0.187187,0.532621
0.189189,0.527449
0.191191,0.522304
0.193193,0.517187
0.195195,0.512097
0.197197,0.507036
0.199199,0.502004
0.201201,0.497002
0.203203,0.492031
0.205205,0.487090
0.207207,0.482181
0.209209,0.477305
0.211211,0.472460
0.213213,0.467650
0.215215,0.462872
0.217217,0.458130
0.219219,0.453422
0.221221,0.448749
0.223223,0.444112
0.225225,0.439511
0.227227,0.434947
0.229229,0.430420
0.231231,0.425931
0.233233,0.421479
0.235235,0.417066
0.237237,0.412692
0.239239,0.408357
0.241241,0.404061
0.243243,0.399806
0.245245,0.395590
0.247247,0.391416
0.249249,0.387282
0.251251,0.383189
0.253253,0.379138
0.255255,0.375129
0.257257,0.371161
0.259259,0.367236
0.261261,0.363354
0.263263,0.359515
0.265265,0.355718
0.267267,0.351965
0.269269,0.348255
0.271271,0.344589
0.273273,0.340967
0.275275,0.337389
0.277277,0.333855
0.279279,0.330365
0.281281,0.326920
0.283283,0.323520
0.285285,0.320164
0.287287,0.316852
0.289289,0.313586
0.291291,0.310364
0.293293,0.307188
0.295295,0.304057
0.297297,0.300970
0.299299,0.297929
0.301301,0.319744
0.303303,0.316768
0.305305,0.313814
0.307307,0.310883
0.309309,0.307976
0.311311,0.305091
0.313313,0.302229
0.315315,0.299391
0.317317,0.296575
0.319319,0.293782
0.321321,0.291012
0.323323,0.288265
0.325325,0.285541
0.327327,0.282840
0.329329,0.280161
0.331331,0.277506
0.333333,0.274873
0.335335,0.272263
0.337337,0.269676
0.339339,0.267111
0.341341,0.264570
0.343343,0.262050
0.345345,0.259554
0.347347,0.257080
0.349349,0.254629
0.351351,0.252200
0.353353,0.249794
0.355355,0.247411
0.357357,0.245050
0.359359,0.242711
0.361361,0.240394
0.363363,0.238100
0.365365,0.235828
0.367367,0.233579
0.369369,0.231351
0.371371,0.229146
0.373373,0.226963
0.375375,0.224802
0.377377,0.222663
0.379379,0.220545
0.381381,0.218450
0.383383,0.216377
0.385385,0.214325
0.387387,0.212295
0.389389,0.210286
0.391391,0.208299
0.393393,0.206334
0.395395,0.204390
0.397397,0.202467
0.399399,0.200566
0.401401,0.198686
0.403403,0.196827
0.405405,0.194990
0.407407,0.193173
0.409409,0.191377
0.411411,0.189602
0.413413,0.187848
0.415415,0.186115
0.417417,0.184402
0.419419,0.182710
0.421421,0.181038
0.423423,0.179387
0.425425,0.177756
0.427427,0.176145
0.429429,0.174554
0.431431,0.172983
0.433433,0.171433
0.435435,0.169902
0.437437,0.168390
0.439439,0.166899
0.441441,0.165427
0.443443,0.163974
0.445445,0.162541
0.447447,0.161127
0.449449,0.159732
0.451451,0.158356
0.453453,0.157000
0.455455,0.155662
0.457457,0.154342
0.459459,0.153042
0.461461,0.151759
0.463463,0.150495
0.465465,0.149250
0.467467,0.148022
0.469469,0.146813
0.471471,0.145622
0.473473,0.144448
0.475475,0.143292
0.477477,0.142153
0.479479,0.141032
0.481481,0.139928
0.483483,0.138842
0.485485,0.137772
0.487487,0.136719
0.489489,0.135684
0.491491,0.134664
0.493493,0.133661
0.495495,0.132675
0.497497,0.131705
0.499499,0.130751
0.501502,0.135538
0.503504,0.134609
0.505506,0.133691
0.507508,0.132783
0.509510,0.131886
0.511512,0.130999
0.513514,0.130121
0.515516,0.129254
0.517518,0.128396
0.519520,0.127548
0.521522,0.126710
0.523524,0.125881
0.525526,0.125061
0.527528,0.124250
0.529530,0.123448
0.531532,0.122655
0.533534,0.121870
0.535536,0.121095
0.537538,0.120327
0.539540,0.119568
0.541542,0.118818
0.543544,0.118075
0.545546,0.117340
0.547548,0.116614
0.549550,0.115894
0.551552,0.115183
0.553554,0.114479
0.555556,0.113783
