x,y
-0.783911,0.062431
-0.781955,0.062840
-0.779991,0.063255
-0.778019,0.063675
-0.776040,0.064101
-0.774053,0.064532
-0.772058,0.064969
-0.770056,0.065411
-0.768046,0.065859
-0.766028,0.066311
-0.764003,0.066768
-0.761970,0.067230
-0.759930,0.067697
-0.757882,0.068169
-0.755827,0.068645
-0.753764,0.069125
-0.751694,0.069610
-0.749616,0.070099
-0.747531,0.070593
-0.745439,0.071090
-0.743339,0.071590
-0.741232,0.072095
-0.739117,0.072603
-0.736995,0.073114
-0.734866,0.073629
-0.732730,0.074147
-0.730586,0.074667
-0.728435,0.075191
-0.726277,0.075717
-0.724112,0.076246
-0.721940,0.076776
-0.719760,0.077310
-0.717573,0.077844
-0.715380,0.078381
-0.713179,0.078920
-0.710971,0.079460
-0.708756,0.080001
-0.706534,0.080543
-0.704305,0.081086
-0.702070,0.081629
-0.699827,0.082174
-0.697577,0.082718
-0.695320,0.083263
-0.693057,0.083807
-0.690787,0.084351
-0.688509,0.084894
-0.686225,0.085437
-0.683935,0.085979
-0.681637,0.086519
-0.679333,0.087058
-0.677022,0.087596
-0.674704,0.088131
-0.672380,0.088664
-0.670049,0.089195
-0.667711,0.089723
-0.665367,0.090249
-0.663016,0.090771
-0.660659,0.091289
-0.658295,0.091805
-0.655924,0.092316
-0.653548,0.092823
-0.651164,0.093325
-0.648774,0.093823
-0.646378,0.094315
-0.643976,0.094803
-0.641567,0.095285
-0.639151,0.095760
-0.636730,0.096230
-0.634302,0.096694
-0.631867,0.097150
-0.629427,0.097600
-0.626980,0.098042
-0.624527,0.098476
-0.622068,0.098903
-0.619603,0.099321
-0.617132,0.099730
-0.614654,0.100131
-0.612171,0.100522
-0.609681,0.100904
-0.607186,0.101276
-0.604684,0.101637
-0.602176,0.101988
-0.599663,0.102328
-0.597143,0.102656
-0.594618,0.102973
-0.592087,0.103278
-0.589550,0.103571
-0.587007,0.103851
-0.584458,0.104118
-0.581903,0.104374
-0.579343,0.104619
-0.576777,0.104855
-0.574205,0.105082
-0.571628,0.105301
-0.569045,0.105515
-0.566456,0.105723
-0.563862,0.105927
-0.561262,0.106128
-0.558657,0.106328
-0.556046,0.106527
-0.553430,0.106726
-0.550808,0.106928
-0.548180,0.107132
-0.545548,0.107341
-0.542909,0.107555
-0.540266,0.107776
-0.537617,0.108005
-0.534963,0.108244
-0.532303,0.108493
-0.529639,0.108755
-0.526969,0.109030
-0.524293,0.109319
-0.521613,0.109625
-0.518928,0.109948
-0.516237,0.110290
-0.513541,0.110652
-0.510840,0.111036
-0.508134,0.111443
-0.505423,0.111875
-0.502708,0.112333
-0.499987,0.112819
-0.497261,0.113333
-0.494530,0.113878
-0.491794,0.114456
-0.489054,0.115067
-0.486309,0.115713
-0.483558,0.116396
-0.480803,0.117118
-0.478044,0.117879
-0.475279,0.118682
-0.472510,0.119529
-0.469736,0.120420
-0.466958,0.121357
-0.464175,0.122343
-0.461387,0.123379
-0.458595,0.124466
-0.455798,0.125606
-0.452997,0.126801
-0.450191,0.128053
-0.447381,0.129363
-0.444567,0.130734
-0.441748,0.132166
-0.438924,0.133662
-0.436097,0.135224
-0.433265,0.136853
-0.430428,0.138550
-0.427588,0.140319
-0.424743,0.142161
-0.421894,0.144077
-0.419041,0.146069
-0.416183,0.148140
